Data collection day,Date,Jar Code (ex. E1),Chemical,Number of ephyra,Elongation?,Ruffled?,Stacks?,Asexual Repro?,Total
1,11-5,P1,Control,0,2,1,0,0,15
1,11-5,P2,Control,0,1,4,0,0,15
1,11-5,P3,Control,0,3,6,0,0,15
1,11-5,P4,Caffeine,0,2,6,0,1,15
1,11-5,P5,Caffeine,0,3,5,0,1,15
1,11-5,P6,Caffeine,0,5,11,0,2,15
1,11-5,P7,Estradiol,0,3,4,0,2,15
1,11-5,P8,Estradiol,0,5,6,0,3,15
1,11-5,P9,Estradiol,0,2,3,0,0,15
1,11-5,P10,Combo,0,9,11,0,3,15
1,11-5,P11,Combo,0,4,6,0,2,15
1,11-5,P12,Combo,0,3,5,0,6,15
2,11-8,P1,Control,0,5,5,0,1,15
2,11-8,P2,Control,0,9,9,0,5,15
2,11-8,P3,Control,0,7,11,0,1,17
2,11-8,P4,Caffeine,0,3,6,0,4,17
2,11-8,P5,Caffeine,0,2,4,0,5,19
2,11-8,P6,Caffeine,0,8,9,0,5,15
2,11-8,P7,Estradiol,0,5,9,0,5,16
2,11-8,P8,Estradiol,0,12,11,0,3,18
2,11-8,P9,Estradiol,0,6,9,0,0,15
2,11-8,P10,Combo,0,10,11,0,7,22
2,11-8,P11,Combo,0,11,12,0,4,16
2,11-8,P12,Combo,0,6,10,0,6,21
3,11-11,P1,Control,0,4,12,0,4,18
3,11-11,P2,Control,0,13,14,0,5,21
3,11-11,P3,Control,0,14,19,0,4,21
3,11-11,P4,Caffeine,0,12,17,0,8,23
3,11-11,P5,Caffeine,0,17,20,0,8,25
3,11-11,P6,Caffeine,0,3,14,0,7,19
3,11-11,P7,Estradiol,0,17,18,0,4,21
3,11-11,P8,Estradiol,0,16,16,0,8,18
3,11-11,P9,Estradiol,0,6,14,0,7,15
3,11-11,P10,Combo,0,13,28,0,13,36
3,11-11,P11,Combo,0,15,15,0,13,16
3,11-11,P12,Combo,0,8,20,0,7,24
4,11-14,P1,Control,0,11,17,0,7,21
4,11-14,P2,Control,0,9,20,0,8,28
4,11-14,P3,Control,0,10,21,0,10,24
4,11-14,P4,Caffeine,0,18,32,0,7,35
4,11-14,P5,Caffeine,0,23,26,0,6,37
4,11-14,P6,Caffeine,0,16,24,0,11,31
4,11-14,P7,Estradiol,0,13,19,0,9,25
4,11-14,P8,Estradiol,0,22,20,0,8,28
4,11-14,P9,Estradiol,0,16,17,0,3,23
4,11-14,P10,Combo,0,28,39,0,15,48
4,11-14,P11,Combo,0,19,23,0,8,41
4,11-14,P12,Combo,0,17,15,0,11,36
